SchaefferID,inC1,inC2,inC3,inC4,Assignment
179,0,0,0,0,0
180,1,0,0,0,1
181,0,1,0,0,2
182,0,0,0,0,0
183,0,0,0,0,0
184,0,0,0,0,0
185,0,0,0,0,0
186,0,0,0,0,0
187,0,0,0,0,0
188,0,0,0,0,0
189,0,0,0,0,0
190,0,1,0,0,2
191,0,0,0,0,0
192,0,1,0,0,2
193,0,0,0,0,0
194,0,0,0,0,0
195,0,0,0,0,0
196,0,1,0,0,2
197,0,1,0,0,2
198,0,1,0,0,2
199,0,0,0,0,0
200,0,1,0,0,2
201,0,1,0,1,5
202,0,1,0,0,2
203,0,1,0,1,5
204,0,1,0,1,5
205,0,1,0,1,5
206,0,0,0,1,4
207,0,0,0,0,0
208,1,0,0,1,5
209,0,1,0,1,5
210,0,1,0,1,5
211,1,0,1,1,5
212,1,0,0,1,5
213,0,0,0,1,4
214,0,0,0,1,4
215,0,0,0,1,4
216,0,0,0,1,4
217,0,1,0,0,2
218,1,0,0,1,5
219,0,0,1,1,5
220,1,0,1,1,5
221,0,0,0,1,4
222,0,0,0,1,4
223,1,1,0,1,5
224,1,0,1,1,5
225,1,0,0,1,5
226,1,0,0,1,5
227,0,0,0,0,0
228,1,0,1,0,5
229,1,0,0,0,1
230,1,0,1,0,5
231,0,0,0,0,0
232,0,0,0,1,4
233,1,0,1,0,5
234,0,0,0,1,4
235,0,0,0,0,0
236,1,0,0,1,5
237,1,0,0,0,1
238,0,0,0,1,4
239,0,0,0,0,0
240,1,0,0,1,5
241,0,0,0,0,0
242,1,0,0,1,5
243,0,0,1,0,3
244,0,0,0,1,4
245,0,0,0,1,4
246,1,0,1,1,5
247,0,0,0,0,0
248,1,0,1,1,5
249,1,0,1,0,5
250,0,0,0,0,0
251,1,0,1,1,5
252,1,0,1,0,5
253,1,0,1,0,5
254,1,0,1,0,5
255,1,0,1,1,5
256,1,0,1,0,5
257,1,0,1,0,5
258,0,0,1,0,3
259,1,0,1,1,5
260,1,0,1,0,5
261,1,0,1,0,5
262,1,0,1,0,5
263,1,0,1,0,5
264,1,0,1,1,5
265,1,0,1,0,5
266,1,0,1,0,5
267,0,1,1,0,5
268,1,0,1,1,5
269,1,0,1,1,5
270,1,0,1,1,5
271,0,0,0,1,4
272,0,0,0,1,4
273,0,0,0,0,0
