PicSeq_AgeAdj,CardSort_AgeAdj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_AgeAdj,PicVocab_AgeAdj,ProcSpeed_AgeAdj,DDisc_AUC_200,DDisc_AUC_40K,VSPLOT_TC,VSPLOT_CRTE,VSPLOT_OFF,SCPT_SEN,SCPT_SPEC,IWRD_TOT,IWRD_RTC,ListSort_AgeAdj
110.97,109.92,98.51,10.0,9.0,10975.0,71.70358,84.8568,97.87,0.0599625,0.7046876999999999,10.0,1087.3214,38.0,0.9667,0.975,38.0,1460.0,98.44
94.1,93.83,89.31,14.0,5.0,8053.0,108.9206,112.4314,71.1,0.8620458000000001,0.9434898000000002,17.0,573.0,14.0,0.9833,1.0,37.0,1377.5,103.57
130.24,89.8,86.06,23.0,0.0,30249.0,125.9454,124.1046,89.14,0.7128270999999999,0.7010419,24.0,1760.375,7.0,0.9667,0.9833,38.0,1545.0,128.24
91.63,95.29,107.86,21.0,0.0,25330.0,115.4131,115.229,74.17,0.035092708,0.20520854,6.0,935.1189999999999,45.0,1.0,0.9333,39.0,1672.5,108.26
91.25,96.9,99.02,19.0,0.0,42985.0,105.0,108.88,98.44,0.23691562,0.75091165,12.0,1814.4375,33.0,0.9667,0.975,38.0,1790.0,103.57
87.79,104.28,104.75,19.0,0.0,12500.0,96.45801,106.355,135.63,0.5744156,0.86497414,23.0,1346.25,9.0,0.95,0.9583,37.0,1515.0,103.57
109.65,106.42,102.12,13.0,6.0,5910.0,70.60240999999999,96.09736,89.14,0.10605625,0.60794294,9.0,1051.4286,29.0,0.9667,0.9417,30.0,2360.0,98.44
97.39,101.68,93.3,22.0,0.0,17855.0,116.2795,123.2858,118.18,0.44928542,0.7656251999999999,19.0,1136.5555,17.0,1.0,0.9833,35.0,1435.0,108.26
112.44,93.22,100.47,16.0,3.0,22765.0,118.2251,110.8873,96.12,0.58444166,0.9375002,19.0,1145.9166,13.0,0.9667,0.8917,39.0,1517.5,89.14
93.36,106.42,106.27,21.0,0.0,22100.0,112.432,145.0916,101.27,0.15436354,0.37929708,21.0,1218.0,12.0,0.8833,0.95,39.0,1657.5,108.26
98.24,94.27,86.0,19.0,0.0,23849.0,117.1965,120.5509,85.5,0.34004062,0.7578126999999999,17.0,1824.2858,20.0,0.9333,0.95,37.0,1579.5,103.57
130.24,114.32,95.33,19.0,0.0,13320.0,119.7719,110.1132,112.44,0.2318375,0.27369812,20.0,1381.875,14.0,1.0,0.9833,35.0,1557.5,98.44
121.69,87.27,110.06,23.0,0.0,23980.0,128.7861,145.0916,123.33,0.24629062,0.9257814,16.0,1245.0863,20.0,0.9833,0.8917,38.0,1245.0,108.26
98.32,85.2,84.09,12.0,7.0,13640.0,99.08466,108.4599,61.72,0.2334,0.90546894,7.0,1355.0,41.0,1.0,0.9833,31.0,3097.5,89.14
96.42,103.63,93.15,19.0,0.0,13680.0,121.027,113.3908,103.13,0.25774896,0.79921895,20.0,1110.8036,12.0,0.9667,0.9583,39.0,1312.5,123.73
100.04,108.72,103.98,20.0,0.0,10140.0,130.23,133.88,118.96,0.49069166,0.7226564,16.0,923.8071,21.0,1.0,0.9917,36.0,1260.0,113.85
102.94,84.15,88.89,22.0,0.0,16831.0,128.57,114.72,81.26,0.2380875,0.631771,17.0,1218.3,19.0,0.9167,0.9583,35.0,1665.0,118.14
112.44,117.52,108.88,19.0,0.0,13669.0,116.76,88.53,112.3,0.024025,0.4968752,12.0,889.1518,28.0,1.0,0.9833,32.0,1269.75,113.85
89.99,89.78,104.87,18.0,1.0,11045.0,104.35,104.6,97.99,0.37311354,0.57734394,16.0,748.0555400000001,21.0,0.8333,0.9583,36.0,1942.5,89.14
81.1,110.65,108.88,21.0,0.0,14890.0,106.9596,133.0465,119.78,0.274025,0.8390627,16.0,1036.7411,21.0,1.0,0.9833,32.0,1590.0,98.44
